,word,frequency,frequency_scaled,relevancy_score,weighted_score
0,fund,1561,1.0,42.444604977965355,42.444604977965355
1,investment,1084,0.6944266495836002,42.08082880079746,29.22204895583885
3,company,1054,0.675208199871877,41.291589714586735,27.88041996103422
2,market,1076,0.6893017296604741,40.201122879981995,27.710703535464848
4,tax,979,0.6271620755925689,42.5237418115139,26.66927817647156
5,service,930,0.5957719410634209,42.240925416350365,25.165958127614246
7,plan,880,0.5637411915438821,42.66228488832712,24.050487316930088
120,taxation,979,0.6271620755925689,42.5237418115139,22.801387675521966
6,rate,915,0.5861627162075592,37.975417509675026,22.259773876587218
8,financial,837,0.5361947469570788,40.42980629950762,21.6782497582882
10,state,770,0.49327354260089684,41.34666672348976,20.39521676943441
11,money,769,0.4926329276105061,41.30493900179863,20.348173025229435
17,property,652,0.4176809737347854,44.22242847084999,18.470866984621523
18,home,635,0.4067905188981422,44.91210888326168,18.26982007743188
14,price,677,0.4336963484945548,41.932336539030075,18.18590124082214
15,credit,675,0.43241511851377323,41.06348930299282,17.7564735935427
9,retirement,812,0.5201793721973094,33.677971579134464,17.518586112912992
121,finance,837,0.5361947469570788,40.42980629950762,17.392487695095948
26,pay,564,0.3613068545803972,46.6961303204298,16.871631967150805
20,cost,626,0.4010249839846252,41.653742119669914,16.704191266440336
12,pension,709,0.45419602818705956,36.399840354919434,16.532662915847457
21,bank,625,0.40038436899423446,40.50585647672415,16.217911786004223
16,loan,660,0.4228058936579116,38.14323428273201,16.127184257913598
29,business,528,0.3382447149263293,46.59102328121662,15.759167387881087
28,income,535,0.3427290198590647,45.20562595129013,15.493279874401164
13,million,706,0.45227418321588725,33.6812137812376,15.233143452628921
22,insurance,612,0.3920563741191544,38.44053114950657,15.070855261689955
127,paid,564,0.3613068545803972,46.6961303204298,14.945297937642954
128,paying,564,0.3613068545803972,46.6961303204298,14.871047421568381
23,benefit,591,0.37860345932094813,38.54715797305107,14.594087355588202
19,mortgage,630,0.40358744394618834,35.75608466565609,14.430706815735642
122,retiring,812,0.5201793721973094,33.677971579134464,14.43003137689006
